Unnamed: 0,variable,value,Age,Id,Positon,Toys,Toy_1,Toy_2,Toy_1_Size,Toy_1_Weight,Toy_2_Size,Toy_2_Weight
24_02,Sit_Large Moderate & Large Heavy,0.0,24,02,Sit,Large Moderate & Large Heavy,Large Moderate,Large Heavy,Large,Moderate,Large,Heavy
24_16,Sit_Large Moderate & Large Heavy,0.0,24,16,Sit,Large Moderate & Large Heavy,Large Moderate,Large Heavy,Large,Moderate,Large,Heavy
12_29,Sit_Large Moderate & Large Heavy,0.0,12,29,Sit,Large Moderate & Large Heavy,Large Moderate,Large Heavy,Large,Moderate,Large,Heavy
24_12,Sit_Large Moderate & Large Heavy,0.0,24,12,Sit,Large Moderate & Large Heavy,Large Moderate,Large Heavy,Large,Moderate,Large,Heavy
12_22,Sit_Large Heavy & Large Heavy,0.0,12,22,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
12_34,Sit_Large Heavy & Large Heavy,0.0,12,34,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_29,Sit_Large Heavy & Large Heavy,0.0,24,29,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
12_18,Sit_Large Heavy & Large Heavy,0.0,12,18,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
12_02,Sit_Large Heavy & Large Heavy,0.0,12,02,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_06,Sit_Large Heavy & Large Heavy,0.0,24,06,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_32,Sit_Large Heavy & Large Heavy,0.0,24,32,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
12_09,Sit_Large Heavy & Large Heavy,0.0,12,09,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_08,Sit_Large Heavy & Large Heavy,0.0,24,08,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_38,Sit_Large Heavy & Large Heavy,0.0,24,38,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_37,Sit_Large Heavy & Large Heavy,0.0,24,37,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_04,Sit_Large Heavy & Large Heavy,0.0,24,04,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
