uniqueSubjects,variable,value,Age,Id,Positon,Size,Weight
12_07,stand_small_moderate,0,12,7,stand,small,moderate
12_08,stand_small_moderate,0,12,8,stand,small,moderate
12_09,stand_small_moderate,0,12,9,stand,small,moderate
12_10,stand_small_moderate,0,12,10,stand,small,moderate
12_11,stand_small_moderate,0,12,11,stand,small,moderate
12_12,stand_small_moderate,0,12,12,stand,small,moderate
12_13,stand_small_moderate,0,12,13,stand,small,moderate
12_14,stand_small_moderate,2,12,14,stand,small,moderate
12_15,stand_small_moderate,0,12,15,stand,small,moderate
12_16,stand_small_moderate,0,12,16,stand,small,moderate
12_17,stand_small_moderate,0,12,17,stand,small,moderate
12_18,stand_small_moderate,0,12,18,stand,small,moderate
12_20,stand_small_moderate,0,12,20,stand,small,moderate
12_21,stand_small_moderate,0,12,21,stand,small,moderate
12_22,stand_small_moderate,0,12,22,stand,small,moderate
12_23,stand_small_moderate,0,12,23,stand,small,moderate
12_25,stand_small_moderate,0,12,25,stand,small,moderate
12_26,stand_small_moderate,0,12,26,stand,small,moderate
12_27,stand_small_moderate,0,12,27,stand,small,moderate
12_29,stand_small_moderate,0,12,29,stand,small,moderate
12_30,stand_small_moderate,0,12,30,stand,small,moderate
12_31,stand_small_moderate,0,12,31,stand,small,moderate
12_32,stand_small_moderate,0,12,32,stand,small,moderate
12_33,stand_small_moderate,0,12,33,stand,small,moderate
12_34,stand_small_moderate,0,12,34,stand,small,moderate
12_35,stand_small_moderate,0,12,35,stand,small,moderate
12_36,stand_small_moderate,0,12,36,stand,small,moderate
12_37,stand_small_moderate,0,12,37,stand,small,moderate
12_38,stand_small_moderate,0,12,38,stand,small,moderate
12_39,stand_small_moderate,0,12,39,stand,small,moderate
24_01,stand_small_moderate,0,24,1,stand,small,moderate
24_02,stand_small_moderate,0,24,2,stand,small,moderate
24_04,stand_small_moderate,0,24,4,stand,small,moderate
24_05,stand_small_moderate,0,24,5,stand,small,moderate
24_07,stand_small_moderate,0,24,7,stand,small,moderate
24_09,stand_small_moderate,0,24,9,stand,small,moderate
24_10,stand_small_moderate,0,24,10,stand,small,moderate
24_11,stand_small_moderate,0,24,11,stand,small,moderate
24_12,stand_small_moderate,0,24,12,stand,small,moderate
24_13,stand_small_moderate,0,24,13,stand,small,moderate
24_14,stand_small_moderate,0,24,14,stand,small,moderate
24_16,stand_small_moderate,0,24,16,stand,small,moderate
24_17,stand_small_moderate,0,24,17,stand,small,moderate
24_18,stand_small_moderate,0,24,18,stand,small,moderate
24_23,stand_small_moderate,0,24,23,stand,small,moderate
24_24,stand_small_moderate,0,24,24,stand,small,moderate
24_27,stand_small_moderate,0,24,27,stand,small,moderate
24_29,stand_small_moderate,0,24,29,stand,small,moderate
24_30,stand_small_moderate,0,24,30,stand,small,moderate
24_31,stand_small_moderate,0,24,31,stand,small,moderate
24_32,stand_small_moderate,0,24,32,stand,small,moderate
24_34,stand_small_moderate,0,24,34,stand,small,moderate
24_37,stand_small_moderate,0,24,37,stand,small,moderate
